,candidate,pact,party,district,votes,percentage
0, RICARDO  SANZANA OTEIZA,FREVS/AH,AH,1,3143,0.023238275502584085
1, LEONARDO VALENZUELA ATENAS,FREVS/AH,AH,1,707,0.005227318097463235
2, PAULINA SALDIA PINTO,FREVS/AH,AH,1,1117,0.008258718974351391
3, LUIS ALEJANDRO PAREDES ESCANILLA,FREVS/AH,FREVS,1,681,0.0050350829199044735
4, LUIS MALLA VALENZUELA,UNIDAD,PL,1,29127,0.21535515449053982
5, JORGE DIAZ IBARRA,UNIDAD,PDC,1,18558,0.13721155481290342
6, GIOVANNA CALLE CAPUMA,UNIDAD,PPD,1,1900,0.014047955283140236
7, SANDRA FLORES CONTRERAS,UNIDAD,PS,1,7047,0.0521031267790996
8, JUAN JACOBO TANCARA CHAMBE,PH/PI,PH,1,1856,0.013722634213425408
9, ANA ANDREA CARVAJAL MARIPAN,PH/PI,PH,1,1986,0.014683810101219214
10, ROBERTO SAMUEL FLORES SALGADO,PH/PI,PH,1,676,0.0049981146165277894
11, CAMILO MARTIN JOFRE CAÑIPA,PTR,PTR,1,2965,0.021922203902374104
12, OSCAR BORIS PALLERES FLORES,POPULAR,POPULAR,1,1124,0.00831047459907875
13, DALDYM EUGENIA PINOCHET PEREZ,POPULAR,POPULAR,1,501,0.00370422399834382
14, RODRIGO CUEVAS TRONCOSO,PDG,PDG,1,9803,0.07248005560032827
15, ERNESTO PLASENCIA ROJAS,PDG,PDG,1,1365,0.010092346821834958
16, RAUL PARADA FLORES,PDG,PDG,1,1589,0.011748526813110439
17, CANDY ANDRADE JARA,PDG,PDG,1,1806,0.01335295117965856
18, JUAN CARLOS CHINGA PALMA,CHILEVAMOS,RN,1,8421,0.06226201654701259
19, SEBASTIAN HUERTA GONZALEZ,CHILEVAMOS,UDI,1,4627,0.03421046794478414
20, ARACELY BERRIOS GAJARDO,CHILEVAMOS,EVOPOLI,1,1027,0.007593289513571064
21, MARCELO  ZARA PIZARRO,REP/PNL/PSC,PNL,1,10088,0.07458724889279932
22, JOSE LEE RODRIGUEZ,REP/PNL/PSC,PSC,1,7054,0.05215488240382696
23, STEPHANIE JELDREZ ORTIZ,REP/PNL/PSC,REPUBLICAN,1,12471,0.0922063422821273
24, POLLYANA RIVERA BIGAS,REP/PNL/PSC,REPUBLICAN,1,5612,0.041493223709991055
25, MARCO CALCAGNO ZULETA,FREVS/AH,AH,2,4120,0.022564091329802673
26, RUBEN ROJO SEMBLER,FREVS/AH,AH,2,1468,0.008039826716541342
27, ANGEL CAMPOS DIAZ,FREVS/AH,FREVS,2,1278,0.006999249689196072
28, ENZO MORALES NORAMBUENA,FREVS/AH,FREVS,2,8296,0.04543487904661237
29, MATIAS RAMIREZ PASCAL,UNIDAD,PCCH,2,16096,0.08815330437973394
30, CARLOS JOSE CARVAJAL GALLARDO,UNIDAD,PPD,2,25360,0.13888964954461064
31, ABRAHAM DIAZ MAMANI,UNIDAD,PDC,2,14152,0.07750655837363288
